CT_TEAM,,,,,,,,,,
_team_id,_unique_name,_name,_deptName,_staff1Name,_staff2Name,_custom1,_custom2,_custom3,_schedulable,_www
974169,LB MRes Computational Methods,MRes Computational Methods,LB Department of Life Sciences (Silwood Park),,,,,,Y,
974171,LB MRes Ecology and Evolution and Conservation,MRes Ecology and Evolution and Conservation,LB Department of Life Sciences (Silwood Park),,,,,,Y,
974175,LB MRes Ecosystem and Environmental Change,MRes Ecosystem and Environmental Change,LB Department of Life Sciences (Silwood Park),,,,,,Y,
974167,LB MRes Tropical Forest Ecology,MRes Tropical Forest Ecology,LB Department of Life Sciences (Silwood Park),,,,,,Y,
974184,LB MSc Computational Methods,MSc Computational Methods,LB Department of Life Sciences (Silwood Park),,,,,,Y,
974190,LB MSc Conservation Science,MSc Conservation Science,LB Department of Life Sciences (Silwood Park),,,,,,Y,
974165,LB MSc Ecological Applications,MSc Ecological Applications,LB Department of Life Sciences (Silwood Park),,,,,,Y,
974194,LB MSc Ecology and Evolution and Conservation,MSc Ecology and Evolution and Conservation,LB Department of Life Sciences (Silwood Park),,,,,,Y,
1386152,LB Silwood Masters Committee,Silwood Masters Committee,LB Department of Life Sciences (Silwood Park),,,,,,Y,
